category,word,pos,frequency
全球, 川普,Nb,1
全球,戲劇性,Na,1
全球,股市,Nc,1
全球,雲霄飛車,Na,1
全球,動作,Na,1
全球,美國國,Nc,1
全球,時代,Na,1
全球,雜誌》,Na,1
全球,自家,Nc,1
全球,英文,Na,1
全球,字母,Na,1
全球,名字,Na,1
全球,縮寫,Na,1
全球,旗下,Nc,1
全球,代號,Na,1
全球,漲幅,Na,1
全球,財報,Na,1
全球,影片,Na,1
全球,來賓,Na,1
全球,嘉信,Nc,1
全球,理財,Na,1
全球,創辦人,Na,1
全球,施瓦布,Nb,1
全球,企業家,Na,1
全球,地震,Na,1
全球,暴利,Na,1
全球,政風,Na,1
全球,眾院,Nc,1
全球,領袖,Na,1
全球,傑佛瑞斯,Nb,1
全球,人民,Na,1
全球,眼前,Nc,1
全球,行為,Na,1
全球,華倫,Nb,1
全球,美國國會,Nc,1
全球,傳票,Na,1
全球,證人作證,Na,1
全球,共和黨,Nb,1
全球,資源,Na,1
全球,能力,Na,1
全球,法律,Na,1
全球,爭論,Na,1
全球,空間,Na,1
全球,黨派,Na,1
全球,把戲,Na,1
全球,所作,Na,1
全球,職權,Na,1
政治,台灣,Nc,29
政治,美國,Nc,20
政治,關稅,Na,17
政治,政府,Na,16
政治,共軍,Na,11
政治,立委,Na,11
政治,外交部,Nc,11
政治,徐巧芯,Nb,9
政治,中國,Nc,8
政治,業者,Na,8
政治,國民黨,Nb,8
政治,人員,Na,7
政治,國家,Na,7
政治,總統,Na,7
政治,英傑,Nb,7
政治,國防,Nc,7
政治,國安,Na,6
政治,代表,Na,6
政治,談判,VC,6
政治,卓榮泰,Nb,6
政治,將領,Na,5
政治,何姓,Nb,5
政治,助理,Na,5
政治,立法院,Nc,5
政治,產業,Na,5
政治,行政院長,Na,5
政治,行政院,Nc,5
政治,單位,Na,4
政治,民進黨,Nb,4
政治,社會,Na,4
政治,賴清德,Nb,4
政治,委員會,Nc,4
政治,會議,Na,4
政治,何仁傑,Nb,4
政治,大陸,Nc,4
政治,時間,Na,4
政治,競爭,Na,4
政治,市場,Nc,4
政治,貿易,Na,4
政治,處長,Na,4
政治,川普,Nb,4
政治,法案,Na,4
